Before CTE Training: train eu loss: 1.0375890731811523, eval eu loss: 1.492782711982727
Before CTE Training: train eu acc: 0.6748046875, eval eu acc: 0.560546875
epoch  67 summary: dyn_dyn_loss   : 1.97724, dyn_sta_loss   : 0.06142, tot_dyn_loss   : 0.25300, sta_sta_loss   : 4.06241, 
epoch  68 summary: dyn_dyn_loss   : 1.98275, dyn_sta_loss   : 0.06531, tot_dyn_loss   : 0.25705, sta_sta_loss   : 4.06241, 
epoch  69 summary: dyn_dyn_loss   : 1.98333, dyn_sta_loss   : 0.06254, tot_dyn_loss   : 0.25462, sta_sta_loss   : 4.06241, 
epoch  70 summary: dyn_dyn_loss   : 1.98186, dyn_sta_loss   : 0.06325, tot_dyn_loss   : 0.25511, sta_sta_loss   : 4.06241, 
train loss: 0.0002, train acc: 1.0000
epoch  71 summary: dyn_dyn_loss   : 1.97544, dyn_sta_loss   : 0.06479, tot_dyn_loss   : 0.25586, sta_sta_loss   : 4.06241, 
epoch  72 summary: dyn_dyn_loss   : 1.98802, dyn_sta_loss   : 0.06136, tot_dyn_loss   : 0.25402, sta_sta_loss   : 4.06241, 
epoch  73 summary: dyn_dyn_loss   : 1.98766, dyn_sta_loss   : 0.06020, tot_dyn_loss   : 0.25295, sta_sta_loss   : 4.06241, 
epoch  74 summary: dyn_dyn_loss   : 1.98943, dyn_sta_loss   : 0.05992, tot_dyn_loss   : 0.25287, sta_sta_loss   : 4.06241, 
epoch  75 summary: dyn_dyn_loss   : 1.98081, dyn_sta_loss   : 0.06224, tot_dyn_loss   : 0.25410, sta_sta_loss   : 4.06241, 
epoch  76 summary: dyn_dyn_loss   : 1.98331, dyn_sta_loss   : 0.06168, tot_dyn_loss   : 0.25384, sta_sta_loss   : 4.06241, 
epoch  77 summary: dyn_dyn_loss   : 1.98524, dyn_sta_loss   : 0.06226, tot_dyn_loss   : 0.25455, sta_sta_loss   : 4.06241, 
epoch  78 summary: dyn_dyn_loss   : 1.98767, dyn_sta_loss   : 0.06047, tot_dyn_loss   : 0.25319, sta_sta_loss   : 4.06241, 
epoch  79 summary: dyn_dyn_loss   : 1.97179, dyn_sta_loss   : 0.06385, tot_dyn_loss   : 0.25464, sta_sta_loss   : 4.06241, 
epoch  80 summary: dyn_dyn_loss   : 1.97464, dyn_sta_loss   : 0.06299, tot_dyn_loss   : 0.25415, sta_sta_loss   : 4.06241, 
train loss: 0.0001, train acc: 1.0000
epoch  81 summary: dyn_dyn_loss   : 1.98281, dyn_sta_loss   : 0.06335, tot_dyn_loss   : 0.25530, sta_sta_loss   : 4.06241, 
epoch  82 summary: dyn_dyn_loss   : 1.98809, dyn_sta_loss   : 0.06146, tot_dyn_loss   : 0.25412, sta_sta_loss   : 4.06241, 
epoch  83 summary: dyn_dyn_loss   : 1.99287, dyn_sta_loss   : 0.06140, tot_dyn_loss   : 0.25455, sta_sta_loss   : 4.06241, 
epoch  84 summary: dyn_dyn_loss   : 1.99057, dyn_sta_loss   : 0.06276, tot_dyn_loss   : 0.25554, sta_sta_loss   : 4.06241, 
epoch  85 summary: dyn_dyn_loss   : 1.98718, dyn_sta_loss   : 0.06063, tot_dyn_loss   : 0.25329, sta_sta_loss   : 4.06241, 
epoch  86 summary: dyn_dyn_loss   : 1.98447, dyn_sta_loss   : 0.05848, tot_dyn_loss   : 0.25108, sta_sta_loss   : 4.06241, 
epoch  87 summary: dyn_dyn_loss   : 1.98076, dyn_sta_loss   : 0.06017, tot_dyn_loss   : 0.25223, sta_sta_loss   : 4.06241, 
epoch  88 summary: dyn_dyn_loss   : 1.96789, dyn_sta_loss   : 0.06532, tot_dyn_loss   : 0.25557, sta_sta_loss   : 4.06241, 
epoch  89 summary: dyn_dyn_loss   : 1.97562, dyn_sta_loss   : 0.06364, tot_dyn_loss   : 0.25484, sta_sta_loss   : 4.06241, 
epoch  90 summary: dyn_dyn_loss   : 1.98129, dyn_sta_loss   : 0.06185, tot_dyn_loss   : 0.25379, sta_sta_loss   : 4.06241, 
train loss: 0.0001, train acc: 1.0000
epoch  91 summary: dyn_dyn_loss   : 1.98232, dyn_sta_loss   : 0.06221, tot_dyn_loss   : 0.25422, sta_sta_loss   : 4.06241, 
epoch  92 summary: dyn_dyn_loss   : 1.98179, dyn_sta_loss   : 0.06217, tot_dyn_loss   : 0.25414, sta_sta_loss   : 4.06241, 
epoch  93 summary: dyn_dyn_loss   : 1.97807, dyn_sta_loss   : 0.06055, tot_dyn_loss   : 0.25230, sta_sta_loss   : 4.06241, 
epoch  94 summary: dyn_dyn_loss   : 1.97982, dyn_sta_loss   : 0.05962, tot_dyn_loss   : 0.25164, sta_sta_loss   : 4.06241, 
epoch  95 summary: dyn_dyn_loss   : 1.97664, dyn_sta_loss   : 0.06170, tot_dyn_loss   : 0.25319, sta_sta_loss   : 4.06241, 
epoch  96 summary: dyn_dyn_loss   : 1.97906, dyn_sta_loss   : 0.06229, tot_dyn_loss   : 0.25397, sta_sta_loss   : 4.06241, 
epoch  97 summary: dyn_dyn_loss   : 1.98280, dyn_sta_loss   : 0.06343, tot_dyn_loss   : 0.25536, sta_sta_loss   : 4.06241, 
epoch  98 summary: dyn_dyn_loss   : 1.98336, dyn_sta_loss   : 0.06320, tot_dyn_loss   : 0.25521, sta_sta_loss   : 4.06241, 
epoch  99 summary: dyn_dyn_loss   : 1.97783, dyn_sta_loss   : 0.06138, tot_dyn_loss   : 0.25302, sta_sta_loss   : 4.06241, 
epoch 100 summary: dyn_dyn_loss   : 1.98268, dyn_sta_loss   : 0.06187, tot_dyn_loss   : 0.25395, sta_sta_loss   : 4.06241, 
train loss: 0.0001, train acc: 1.0000
epoch 101 summary: dyn_dyn_loss   : 1.98429, dyn_sta_loss   : 0.06191, tot_dyn_loss   : 0.25414, sta_sta_loss   : 4.06241, 
epoch 102 summary: dyn_dyn_loss   : 1.97808, dyn_sta_loss   : 0.06114, tot_dyn_loss   : 0.25284, sta_sta_loss   : 4.06241, 
epoch 103 summary: dyn_dyn_loss   : 1.97405, dyn_sta_loss   : 0.06478, tot_dyn_loss   : 0.25571, sta_sta_loss   : 4.06241, 
epoch 104 summary: dyn_dyn_loss   : 1.96892, dyn_sta_loss   : 0.06528, tot_dyn_loss   : 0.25564, sta_sta_loss   : 4.06241, 
epoch 105 summary: dyn_dyn_loss   : 1.97468, dyn_sta_loss   : 0.06210, tot_dyn_loss   : 0.25336, sta_sta_loss   : 4.06241, 
epoch 106 summary: dyn_dyn_loss   : 1.96440, dyn_sta_loss   : 0.06405, tot_dyn_loss   : 0.25408, sta_sta_loss   : 4.06241, 
epoch 107 summary: dyn_dyn_loss   : 1.97093, dyn_sta_loss   : 0.06224, tot_dyn_loss   : 0.25311, sta_sta_loss   : 4.06241, 
epoch 108 summary: dyn_dyn_loss   : 1.98844, dyn_sta_loss   : 0.06076, tot_dyn_loss   : 0.25353, sta_sta_loss   : 4.06241, 
epoch 109 summary: dyn_dyn_loss   : 1.98229, dyn_sta_loss   : 0.06108, tot_dyn_loss   : 0.25320, sta_sta_loss   : 4.06241, 
epoch 110 summary: dyn_dyn_loss   : 1.97642, dyn_sta_loss   : 0.06217, tot_dyn_loss   : 0.25359, sta_sta_loss   : 4.06241, 
train loss: 0.0001, train acc: 1.0000
epoch 111 summary: dyn_dyn_loss   : 1.98140, dyn_sta_loss   : 0.06402, tot_dyn_loss   : 0.25576, sta_sta_loss   : 4.06241, 
epoch 112 summary: dyn_dyn_loss   : 1.99307, dyn_sta_loss   : 0.06209, tot_dyn_loss   : 0.25519, sta_sta_loss   : 4.06241, 
epoch 113 summary: dyn_dyn_loss   : 1.98597, dyn_sta_loss   : 0.06075, tot_dyn_loss   : 0.25328, sta_sta_loss   : 4.06241, 
